day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_c_avg,temp_c_min,temp_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2020-06-15,2020-06-15T00:00:00Z,525.0,525.0,18.0,4570.178,14295.0,1441.063,4616.0,,,12574.712,12385.0,13566.0,,,4033.031,3982.0,4125.0,,,,114.414,,,,,,26.236,,,1312.188,200.0,200.0,200.0,,,,1.0,527.0,204.0,196.0,0.0,525.0,0.0,525.0,0.0,210.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,525.0,
2020-06-16,2020-06-16T00:00:00Z,709.0,709.0,24.0,6539.246,20612.0,4132.102,12274.0,,,12891.533,12483.0,14852.0,,,4066.527,3988.0,4133.0,,,,611.194,,,,,,2580.875,,,279.779,200.0,200.0,200.0,,,,528.0,1236.0,381.0,372.0,0.0,709.0,0.0,709.0,0.0,426.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,709.0,
2020-06-17,2020-06-17T00:00:00Z,709.0,709.0,24.0,5399.881,20890.0,3118.067,12591.0,,,4872.739,12.59,15310.0,,,1423.837,0.0,4134.0,,,,433.091,,,,,,1489.329,,,331.49,92.035,0.0,341.0,,,,3.98,1482.0,246.0,246.0,0.0,246.0,0.0,623.0,0.0,246.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,702.0,
2020-06-18,2020-06-18T00:00:00Z,705.0,54.0,24.0,7.657,20.72,3.779,32.5,,,13.281,12.68,14.97,,,4.166,3.97,12.3,,,,0.598,,,,8.661,52.45,3.869,,,0.353,31.571,0.0,35.2,,,3.232,3.99,1101.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,
2020-06-19,2020-06-19T00:00:00Z,701.0,0.0,24.0,7.134,20.64,0.0,0.0,,,13.051,12.61,14.91,,,3.953,3.92,3.97,,,,0.414,,,,5.481,42.73,2.281,,,0.011,33.631,32.1,34.8,,,2.149,1102.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-20,2020-06-20T00:00:00Z,702.0,0.0,24.0,7.444,20.64,0.0,0.0,,,13.282,12.69,14.84,,,3.87,3.82,3.92,,,,0.643,,,,9.293,55.29,3.822,,,1.142,34.678,33.0,37.1,,,3.594,1811.0,2519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-21,2020-06-21T00:00:00Z,499.0,0.0,18.0,4.971,20.55,0.0,0.0,,,13.033,12.69,14.82,,,3.729,3.67,3.82,,,,0.12,,,,1.201,9.74,0.045,,,0.303,32.89,31.4,34.9,,,0.304,2520.0,3207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-22,2020-06-22T00:00:00Z,667.0,0.0,23.0,6.855,15.86,0.042,3.74,,,13.132,12.3,15.11,,,3.506,3.03,3.67,,,,0.504,,,,8.735,47.97,3.429,,,1.24,33.769,31.1,35.8,,,3.278,3208.0,3880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-23,2020-06-23T00:00:00Z,631.0,20.0,22.0,6.894,21.29,2.086,4.64,,,13.325,11.9,16.77,,,3.99,3.6,4.1,,,,0.714,,,,10.37,70.61,3.301,,,0.889,34.262,30.6,36.0,,,3.541,1.0,591.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-24,2020-06-24T00:00:00Z,695.0,0.0,24.0,7.249,21.42,4.054,12.66,,,13.035,11.95,14.79,,,4.077,4.0,4.14,,,,0.687,,,,9.632,49.16,3.742,,,1.058,35.456,33.0,38.3,,,3.683,592.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
